* Disclaimer:
* THIS FILE IS PROVIDED AS IS AND WITH:
* (A)  NO WARRANTY OF ANY KIND, express, implied or statutory, including any implied warranties of merchantability, fitness for a particular purpose and noninfringement, which Infineon disclaims to the maximum extent permitted by applicable law; and
* (B)  NO INDEMNIFICATION FOR INFRINGEMENT OF INTELLECTUAL PROPERTY RIGHTS.
* LIMITATION OF LIABILITY:  IN NO EVENT SHALL INFINEON BE LIABLE FOR ANY DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES (INCLUDING LOST PROFITS OR SAVINGS) WHATSOEVER, WHETHER BASED ON CONTRACT, TORT OR 
* ANY OTHER LEGAL THEORY, EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.
* © 2020 Infineon Technologies AG. All rights reserved

Release:
	version 3.0


Tag	,	Weight	,	Net	,	Device	,	Terminal
Defect_Open_171	,	1	,	xdut.xi32.net12	,	xdut.xi32.xi1.mptrans37	,	D
Defect_Open_172	,	1	,	xdut.xi32.xi1.net25	,	xdut.xi32.xi1.mntrans36	,	D
Defect_Open_173	,	1	,	xdut.xi32.net12	,	xdut.xi32.xi1.mntrans35	,	D
Defect_Open_174	,	1	,	xdut.xi32.net18	,	xdut.xi32.xi105.mptrans38	,	D
Defect_Open_175	,	1	,	xdut.xi32.net18	,	xdut.xi32.xi105.mptrans37	,	D
Defect_Open_176	,	1	,	xdut.xi32.xi105.net25	,	xdut.xi32.xi105.mntrans36	,	D
Defect_Open_177	,	1	,	xdut.xi32.net18	,	xdut.xi32.xi105.mntrans35	,	D
Defect_Open_178	,	1	,	xdut.net11	,	xdut.xi68.xi8.mptrans38	,	D
Defect_Open_179	,	1	,	xdut.net11	,	xdut.xi68.xi8.mptrans37	,	D
Defect_Open_180	,	1	,	xdut.xi68.xi8.net25	,	xdut.xi68.xi8.mntrans36	,	D
Defect_Open_181	,	1	,	xdut.net11	,	xdut.xi68.xi8.mntrans35	,	D
Defect_Open_182	,	1	,	xdut.net16	,	xdut.xi68.xi7.mptrans38	,	D
Defect_Open_183	,	1	,	xdut.net16	,	xdut.xi68.xi7.mptrans37	,	D
Defect_Open_184	,	1	,	xdut.xi68.xi7.net25	,	xdut.xi68.xi7.mntrans36	,	D
Defect_Open_185	,	1	,	xdut.net16	,	xdut.xi68.xi7.mntrans35	,	D
Defect_Open_186	,	1	,	xdut.xi68.net13	,	xdut.xi68.xi6.mptrans38	,	D
Defect_Open_187	,	1	,	xdut.xi68.net13	,	xdut.xi68.xi6.mptrans37	,	D
Defect_Open_188	,	1	,	xdut.xi68.xi6.net25	,	xdut.xi68.xi6.mntrans36	,	D
Defect_Open_189	,	1	,	xdut.xi68.net13	,	xdut.xi68.xi6.mntrans35	,	D
Defect_Open_190	,	1	,	xdut.xi68.net14	,	xdut.xi68.xi5.mptrans38	,	D
Defect_Open_191	,	1	,	xdut.xi68.net14	,	xdut.xi68.xi5.mptrans37	,	D
Defect_Open_192	,	1	,	xdut.xi68.xi5.net25	,	xdut.xi68.xi5.mntrans36	,	D
Defect_Open_193	,	1	,	xdut.xi68.net14	,	xdut.xi68.xi5.mntrans35	,	D
Defect_Open_194	,	1	,	xdut.xi68.xi4.net25	,	xdut.xi68.xi4.mntrans36	,	D
Defect_Open_195	,	1	,	xdut.xi68.net7	,	xdut.xi68.xi4.mntrans35	,	D
Defect_Open_196	,	1	,	xdut.xi68.net17	,	xdut.xi68.xi3.mptrans38	,	D
Defect_Open_197	,	1	,	xdut.xi68.net17	,	xdut.xi68.xi3.mptrans37	,	D
Defect_Open_198	,	1	,	xdut.xi68.xi3.net25	,	xdut.xi68.xi3.mntrans36	,	D
Defect_Open_199	,	1	,	xdut.xi68.net17	,	xdut.xi68.xi3.mntrans35	,	D
Defect_Open_200	,	1	,	xdut.xi68.net11	,	xdut.xi68.xi2.mptrans38	,	D
Defect_Open_201	,	1	,	xdut.xi68.net11	,	xdut.xi68.xi2.mptrans37	,	D
Defect_Open_202	,	1	,	xdut.xi68.xi2.net25	,	xdut.xi68.xi2.mntrans36	,	D
Defect_Open_203	,	1	,	xdut.xi68.net11	,	xdut.xi68.xi2.mntrans35	,	D
Defect_Open_204	,	1	,	xdut.xi68.net12	,	xdut.xi68.xi1.mptrans38	,	D
Defect_Open_205	,	1	,	xdut.xi68.net12	,	xdut.xi68.xi1.mptrans37	,	D
Defect_Open_206	,	1	,	xdut.xi68.xi1.net25	,	xdut.xi68.xi1.mntrans36	,	D
Defect_Open_207	,	1	,	xdut.xi68.net12	,	xdut.xi68.xi1.mntrans35	,	D
Defect_Open_208	,	1	,	xdut.xi68.net18	,	xdut.xi68.xi105.mptrans38	,	D
Defect_Open_209	,	1	,	xdut.xi68.net18	,	xdut.xi68.xi105.mptrans37	,	D
Defect_Open_210	,	1	,	xdut.xi68.xi105.net25	,	xdut.xi68.xi105.mntrans36	,	D
Defect_Open_211	,	1	,	xdut.xi68.net18	,	xdut.xi68.xi105.mntrans35	,	D
Defect_Open_212	,	1	,	xdut.amp_out	,	xdut.xi7.m2	,	D
Defect_Open_213	,	1	,	xdut.xi7.net078	,	xdut.xi7.m16	,	D
Defect_Open_214	,	1	,	xdut.xi7.net0117	,	xdut.xi7.m14	,	D
Defect_Open_215	,	1	,	xdut.xi7.net019	,	xdut.xi7.m13	,	D
Defect_Open_216	,	1	,	xdut.xi7.net076	,	xdut.xi7.m12	,	D
Defect_Open_217	,	1	,	xdut.xi7.net076	,	xdut.xi7.m3	,	D
Defect_Open_218	,	1	,	xdut.xi7.net019	,	xdut.xi7.m1	,	D
Defect_Open_219	,	20	,	xdut.amp_out	,	xdut.xi7.m11	,	D
Defect_Open_220	,	1	,	xdut.amp_out	,	xdut.xi7.m47	,	D
Defect_Open_221	,	1	,	xdut.xi7.net021	,	xdut.xi7.m46	,	D
Defect_Open_222	,	1	,	xdut.xi7.vb_n	,	xdut.xi7.mn13	,	D
Defect_Open_223	,	1	,	xdut.xi7.net011	,	xdut.xi7.m45	,	D
Defect_Open_224	,	1	,	xdut.xi7.net021	,	xdut.xi7.m33	,	D
Defect_Open_225	,	1	,	xdut.xi7.net063	,	xdut.xi7.m44	,	D
Defect_Open_226	,	1	,	xdut.xi7.net070	,	xdut.xi7.m35	,	D
Defect_Open_227	,	1	,	ibias	,	xdut.xi7.mn17	,	D
Defect_Open_228	,	1	,	xdut.xi7.net049	,	xdut.xi7.m43	,	D
Defect_Open_229	,	4	,	xdut.xi7.net019	,	xdut.xi7.m5	,	D
Defect_Open_230	,	1	,	xdut.xi7.vb_n	,	xdut.xi7.m38	,	D
Defect_Open_231	,	1	,	xdut.xi7.net011	,	xdut.xi7.m34	,	D
Defect_Open_232	,	4	,	xdut.xi7.net076	,	xdut.xi7.m4	,	D
Defect_Open_233	,	1	,	ibias	,	xdut.xi7.m49	,	D
Defect_Open_234	,	10	,	xdut.xi7.net033	,	xdut.xi7.m50	,	D
Defect_Open_235	,	10	,	xdut.amp_out	,	xdut.xi7.m51	,	D
Defect_Open_236	,	1	,	xdut.xi7.net033	,	xdut.xi7.m48	,	D
Defect_Open_237	,	1	,	xdut.vref	,	xdut.xi7.xi82.m4	,	D
Defect_Open_238	,	1	,	xdut.xi7.net049	,	xdut.xi7.xi82.m3	,	D
Defect_Open_239	,	1	,	xdut.feedback	,	xdut.xi7.xi84.m4	,	D
Defect_Open_240	,	1	,	xdut.xi7.net063	,	xdut.xi7.xi84.m3	,	D
Defect_Open_241	,	1	,	xdut.vref	,	xdut.xi7.xi83.m4	,	D
Defect_Open_242	,	1	,	xdut.xi7.net063	,	xdut.xi7.xi83.m3	,	D
Defect_Open_243	,	1	,	xdut.xi7.net078	,	xdut.xi7.xi78.m4	,	D
Defect_Open_244	,	1	,	xdut.xi7.net076	,	xdut.xi7.xi78.m3	,	D
Defect_Open_245	,	1	,	xdut.xi7.net076	,	xdut.xi7.xi80.m4	,	D
Defect_Open_246	,	1	,	xdut.xi7.net0117	,	xdut.xi7.xi80.m3	,	D
Defect_Open_247	,	1	,	xdut.xi7.net078	,	xdut.xi7.xi79.m4	,	D
Defect_Open_248	,	1	,	xdut.xi7.net019	,	xdut.xi7.xi79.m3	,	D
Defect_Open_249	,	1	,	xdut.xi7.net019	,	xdut.xi7.xi81.m4	,	D
Defect_Open_250	,	1	,	xdut.xi7.net0117	,	xdut.xi7.xi81.m3	,	D
Defect_Open_251	,	1	,	xdut.feedback	,	xdut.xi7.xi85.m4	,	D
Defect_Open_252	,	1	,	xdut.xi7.net049	,	xdut.xi7.xi85.m3	,	D
Defect_Open_253	,	1	,	xdut.xi7.xi118.net031	,	xdut.xi7.xi118.mptrans15	,	D
Defect_Open_254	,	1	,	xdut.xi7.net014	,	xdut.xi7.xi118.mp10	,	D
Defect_Open_255	,	1	,	xdut.xi7.xi118.net031	,	xdut.xi7.xi118.mntrans13	,	D
