* Disclaimer:
* THIS FILE IS PROVIDED AS IS AND WITH:
* (A) NO WARRANTY OF ANY KIND, express, implied or statutory, including any implied warranties of merchantability, fitness for a particular purpose and noninfringement, which  Infineon disclaims to the maximum extent permitted by applicable law; and
* (B) NO INDEMNIFICATION FOR INFRINGEMENT OF INTELLECTUAL PROPERTY RIGHTS.
* (C) LIMITATION OF LIABILITY: IN NO EVENT SHALL INFINEON BE LIABLE FOR ANY DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES (INCLUDING LOST PROFITS OR SAVINGS) WHATSOEVER, WHETHER BASED ON CONTRACT, TORT OR ANY OTHER LEGAL THEORY, EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.
* © 2020 Infineon Technologies AG. All rights reserved.

* Note:
* The CMOS transistor models used, were freely available models downloaded from: http://ptm.asu.edu.
* The bipolar transistor models are from: The Development of Bipolar Log-Domain Filters in a Standard CMOS Process, G. D. Duerden, G. W. Roberts, M. J. Deen, 2001

* Release:
* 	version 2.0

Tag,Net,path-port,device,terminal
TAG	,	Net	,	Path	,	Device	,	Terminal
G_102	,	net031	,	DUT.I57.I171.ntrans27:g	,	nreg	,	g
G_103	,	net032	,	DUT.I57.I171.ptrans23:g	,	preg	,	g
G_104	,	net032	,	DUT.I57.I171.ntrans26:g	,	nreg	,	g
G_105	,	net032	,	DUT.I57.I3.ptrans10:g	,	preg	,	g
G_106	,	net032	,	DUT.I57.I3.ntrans11:g	,	nreg	,	g
G_107	,	lock	,	DUT.I32.I22.ptrans10:g	,	preg	,	g
G_108	,	lock	,	DUT.I32.I22.ntrans11:g	,	nreg	,	g
G_109	,	net012	,	DUT.I10.I164.I153.ptrans24:g	,	preg	,	g
G_110	,	net012	,	DUT.I10.I164.I153.ntrans21:g	,	nreg	,	g
G_111	,	net013	,	DUT.I10.I163.I153.ptrans24:g	,	preg	,	g
G_112	,	net013	,	DUT.I10.I163.I153.ntrans21:g	,	nreg	,	g
G_113	,	net014	,	DUT.I10.I162.I153.ptrans24:g	,	preg	,	g
G_114	,	net014	,	DUT.I10.I162.I153.ntrans21:g	,	nreg	,	g
G_115	,	net015	,	DUT.I10.I170.I153.ptrans24:g	,	preg	,	g
G_116	,	net015	,	DUT.I10.I170.I153.ntrans21:g	,	nreg	,	g
G_117	,	net015	,	DUT.I10.I22.ptrans24:g	,	preg	,	g
